season,metro,team_name,league,conference,division,league_position,conference_position,division_position,qualified_for_postseason,rounds_won,appeared_in_championship,won_championship
1996,Baltimore,Baltimore Ravens,NFL,AFC,Central,,,LAST,false,,,
1997,Baltimore,Baltimore Ravens,NFL,AFC,Central,,,LAST,false,,,
1998,Baltimore,Baltimore Ravens,NFL,AFC,Central,,,,false,,,
1999,Baltimore,Baltimore Ravens,NFL,AFC,Central,,,,false,,,
2000,Baltimore,Baltimore Ravens,NFL,AFC,Central,,,,true,4,true,true
2001,Baltimore,Baltimore Ravens,NFL,AFC,Central,,,,true,1,,
2002,Baltimore,Baltimore Ravens,NFL,AFC,North,,,,false,,,
2003,Baltimore,Baltimore Ravens,NFL,AFC,North,,,FIRST,true,0,,
2004,Baltimore,Baltimore Ravens,NFL,AFC,North,,,,false,,,
2005,Baltimore,Baltimore Ravens,NFL,AFC,North,,,LAST,false,,,
2006,Baltimore,Baltimore Ravens,NFL,AFC,North,,,FIRST,true,0,,
2007,Baltimore,Baltimore Ravens,NFL,AFC,North,,,LAST,false,,,
2008,Baltimore,Baltimore Ravens,NFL,AFC,North,,,,true,2,,
2009,Baltimore,Baltimore Ravens,NFL,AFC,North,,,,true,1,,
2010,Baltimore,Baltimore Ravens,NFL,AFC,North,,,FIRST,true,1,,
2011,Baltimore,Baltimore Ravens,NFL,AFC,North,,,FIRST,true,1,,
2012,Baltimore,Baltimore Ravens,NFL,AFC,North,,,FIRST,true,4,true,true
2013,Baltimore,Baltimore Ravens,NFL,AFC,North,,,,false,,,
2014,Baltimore,Baltimore Ravens,NFL,AFC,North,,,,true,1,,
2015,Baltimore,Baltimore Ravens,NFL,AFC,North,,,,false,,,
2016,Baltimore,Baltimore Ravens,NFL,AFC,North,,,,false,,,
2017,Baltimore,Baltimore Ravens,NFL,AFC,North,,,,false,,,
2018,Baltimore,Baltimore Ravens,NFL,AFC,North,,,FIRST,true,0,,
2019,Baltimore,Baltimore Ravens,NFL,AFC,North,FIRST,FIRST,FIRST,true,0,,
2020,Baltimore,Baltimore Ravens,NFL,AFC,North,,,,true,1,,
2021,Baltimore,Baltimore Ravens,NFL,AFC,North,,,LAST,false,,,
2022,Baltimore,Baltimore Ravens,NFL,AFC,North,,,,true,0,,
